"GeneSymbol","Class","GeneSymbolClass"
"SSU72","protein_coding","SSU72_protein_coding"
"ENSG00000215014","lncRNA","ENSG00000215014_lncRNA"
"ENSG00000274481","processed_pseudogene","ENSG00000274481_processed_pseudogene"
"FNDC10","protein_coding","FNDC10_protein_coding"
"ENSG00000286989","lncRNA","ENSG00000286989_lncRNA"
"ENSG00000272106","lncRNA","ENSG00000272106_lncRNA"
"MIB2","protein_coding","MIB2_protein_coding"
"MMP23B","protein_coding","MMP23B_protein_coding"
"CDK11B","protein_coding","CDK11B_protein_coding"
"ENSG00000272004","lncRNA","ENSG00000272004_lncRNA"
"SLC35E2B","protein_coding","SLC35E2B_protein_coding"
"ENSG00000269737","transcribed_processed_pseudogene","ENSG00000269737_transcribed_processed_pseudogene"
"MMP23A","unprocessed_pseudogene","MMP23A_unprocessed_pseudogene"
"CDK11A","protein_coding","CDK11A_protein_coding"
"ENSG00000268575","lncRNA","ENSG00000268575_lncRNA"
"ENSG00000227775","transcribed_processed_pseudogene","ENSG00000227775_transcribed_processed_pseudogene"
"SLC35E2A","transcribed_unprocessed_pseudogene","SLC35E2A_transcribed_unprocessed_pseudogene"
"NADK","protein_coding","NADK_protein_coding"
"GNB1","protein_coding","GNB1_protein_coding"
"GNB1-DT","lncRNA","GNB1-DT_lncRNA"
"CALML6","protein_coding","CALML6_protein_coding"
"TMEM52","protein_coding","TMEM52_protein_coding"
"CFAP74","protein_coding","CFAP74_protein_coding"
"ENSG00000233542","lncRNA","ENSG00000233542_lncRNA"
"GABRD","protein_coding","GABRD_protein_coding"
"PRKCZ-DT","lncRNA","PRKCZ-DT_lncRNA"
"PRKCZ","protein_coding","PRKCZ_protein_coding"
"ENSG00000271806","lncRNA","ENSG00000271806_lncRNA"
"PRKCZ-AS1","lncRNA","PRKCZ-AS1_lncRNA"
"FAAP20","protein_coding","FAAP20_protein_coding"
"ENSG00000234396","lncRNA","ENSG00000234396_lncRNA"
"SKI","protein_coding","SKI_protein_coding"
"ENSG00000287356","lncRNA","ENSG00000287356_lncRNA"
"MORN1","protein_coding","MORN1_protein_coding"
"ENSG00000272161","lncRNA","ENSG00000272161_lncRNA"
"ENSG00000269896","transcribed_processed_pseudogene","ENSG00000269896_transcribed_processed_pseudogene"
"ENSG00000272420","lncRNA","ENSG00000272420_lncRNA"
"RER1","protein_coding","RER1_protein_coding"
"PEX10","protein_coding","PEX10_protein_coding"
"PLCH2","protein_coding","PLCH2_protein_coding"
"ENSG00000224387","lncRNA","ENSG00000224387_lncRNA"
"ENSG00000229393","lncRNA","ENSG00000229393_lncRNA"
"PANK4","protein_coding","PANK4_protein_coding"
"HES5","protein_coding","HES5_protein_coding"
"ENSG00000272449","lncRNA","ENSG00000272449_lncRNA"
"TNFRSF14-AS1","lncRNA","TNFRSF14-AS1_lncRNA"
"TNFRSF14","protein_coding","TNFRSF14_protein_coding"
"ENSG00000225931","TEC","ENSG00000225931_TEC"
"ENSG00000228037","lncRNA","ENSG00000228037_lncRNA"
"ENSG00000289610","lncRNA","ENSG00000289610_lncRNA"
"PRXL2B","protein_coding","PRXL2B_protein_coding"
"MMEL1","protein_coding","MMEL1_protein_coding"
"MMEL1-AS1","lncRNA","MMEL1-AS1_lncRNA"
"TTC34","protein_coding","TTC34_protein_coding"
"ENSG00000285945","lncRNA","ENSG00000285945_lncRNA"
"ENSG00000283259","lncRNA","ENSG00000283259_lncRNA"
"ENSG00000233234","lncRNA","ENSG00000233234_lncRNA"
"ENSG00000287396","lncRNA","ENSG00000287396_lncRNA"
"ENSG00000231630","lncRNA","ENSG00000231630_lncRNA"
"ENSG00000284745","lncRNA","ENSG00000284745_lncRNA"
"ACTRT2","protein_coding","ACTRT2_protein_coding"
"PRDM16-DT","lncRNA","PRDM16-DT_lncRNA"
"PRDM16","protein_coding","PRDM16_protein_coding"
"MIR4251","miRNA","MIR4251_miRNA"
"ENSG00000226286","lncRNA","ENSG00000226286_lncRNA"
"ENSG00000279839","TEC","ENSG00000279839_TEC"
"ENSG00000272235","lncRNA","ENSG00000272235_lncRNA"
"ENSG00000287828","lncRNA","ENSG00000287828_lncRNA"
"ENSG00000286518","lncRNA","ENSG00000286518_lncRNA"
"ARHGEF16","protein_coding","ARHGEF16_protein_coding"
"ENSG00000272088","lncRNA","ENSG00000272088_lncRNA"
"MEGF6","protein_coding","MEGF6_protein_coding"
"MIR551A","miRNA","MIR551A_miRNA"
"ENSG00000238260","lncRNA","ENSG00000238260_lncRNA"
"TPRG1L","protein_coding","TPRG1L_protein_coding"
"WRAP73","protein_coding","WRAP73_protein_coding"
"TP73","protein_coding","TP73_protein_coding"
"TP73-AS3","lncRNA","TP73-AS3_lncRNA"
"TP73-AS2","lncRNA","TP73-AS2_lncRNA"
"TP73-AS1","transcribed_unitary_pseudogene","TP73-AS1_transcribed_unitary_pseudogene"
"ENSG00000276189","misc_RNA","ENSG00000276189_misc_RNA"
"CCDC27","protein_coding","CCDC27_protein_coding"
"SMIM1","protein_coding","SMIM1_protein_coding"
"LRRC47","protein_coding","LRRC47_protein_coding"
"RN7SL574P","misc_RNA","RN7SL574P_misc_RNA"
"ENSG00000272153","lncRNA","ENSG00000272153_lncRNA"
"CEP104","protein_coding","CEP104_protein_coding"
"DFFB","protein_coding","DFFB_protein_coding"
"C1orf174","protein_coding","C1orf174_protein_coding"
"LINC01134","lncRNA","LINC01134_lncRNA"
"LINC01346","lncRNA","LINC01346_lncRNA"
"LINC01345","lncRNA","LINC01345_lncRNA"
"LINC02780","lncRNA","LINC02780_lncRNA"
"ENSG00000284703","lncRNA","ENSG00000284703_lncRNA"
"EEF1DP6","processed_pseudogene","EEF1DP6_processed_pseudogene"
"LINC01777","lncRNA","LINC01777_lncRNA"
"ENSG00000284694","lncRNA","ENSG00000284694_lncRNA"
"ENSG00000227169","lncRNA","ENSG00000227169_lncRNA"
"LINC01646","lncRNA","LINC01646_lncRNA"
"AJAP1","protein_coding","AJAP1_protein_coding"
"ENSG00000287586","lncRNA","ENSG00000287586_lncRNA"
"ENSG00000284739","lncRNA","ENSG00000284739_lncRNA"
"LINC02781","lncRNA","LINC02781_lncRNA"
"LINC02782","lncRNA","LINC02782_lncRNA"
"ENSG00000284616","lncRNA","ENSG00000284616_lncRNA"
"ENSG00000284692","lncRNA","ENSG00000284692_lncRNA"
"ENSG00000284666","lncRNA","ENSG00000284666_lncRNA"
"ENSG00000260972","lncRNA","ENSG00000260972_lncRNA"
"ENSG00000283356","unprocessed_pseudogene","ENSG00000283356_unprocessed_pseudogene"
"ENSG00000236948","lncRNA","ENSG00000236948_lncRNA"
"ENSG00000264341","miRNA","ENSG00000264341_miRNA"
"MIR4689","miRNA","MIR4689_miRNA"
"NPHP4","protein_coding","NPHP4_protein_coding"
"KCNAB2","protein_coding","KCNAB2_protein_coding"
"CHD5","protein_coding","CHD5_protein_coding"
"ENSG00000285629","protein_coding","ENSG00000285629_protein_coding"
"RPL22","protein_coding","RPL22_protein_coding"
"RNF207-AS1","lncRNA","RNF207-AS1_lncRNA"
"RNF207","protein_coding","RNF207_protein_coding"
"ICMT","protein_coding","ICMT_protein_coding"
"ICMT-DT","lncRNA","ICMT-DT_lncRNA"
"HES3","protein_coding","HES3_protein_coding"
"GPR153","protein_coding","GPR153_protein_coding"
"ACOT7","protein_coding","ACOT7_protein_coding"
"ENSG00000271746","lncRNA","ENSG00000271746_lncRNA"
"HES2","protein_coding","HES2_protein_coding"
"ESPN","protein_coding","ESPN_protein_coding"
"MIR4252","miRNA","MIR4252_miRNA"
"ENSG00000231868","lncRNA","ENSG00000231868_lncRNA"
"TNFRSF25","protein_coding","TNFRSF25_protein_coding"
"PLEKHG5","protein_coding","PLEKHG5_protein_coding"
"NOL9","protein_coding","NOL9_protein_coding"
"RNU6-731P","snRNA","RNU6-731P_snRNA"
"ENSG00000229519","processed_pseudogene","ENSG00000229519_processed_pseudogene"
"TAS1R1","protein_coding","TAS1R1_protein_coding"
"ZBTB48","protein_coding","ZBTB48_protein_coding"
"KLHL21","protein_coding","KLHL21_protein_coding"
"PHF13","protein_coding","PHF13_protein_coding"
"THAP3","protein_coding","THAP3_protein_coding"
"DNAJC11","protein_coding","DNAJC11_protein_coding"
"LINC01672","lncRNA","LINC01672_lncRNA"
"ENSG00000284744","lncRNA","ENSG00000284744_lncRNA"
"CAMTA1-DT","lncRNA","CAMTA1-DT_lncRNA"
"CAMTA1","protein_coding","CAMTA1_protein_coding"
"ENSG00000227950","processed_pseudogene","ENSG00000227950_processed_pseudogene"
"ENSG00000237365","lncRNA","ENSG00000237365_lncRNA"
"RNU1-8P","snRNA","RNU1-8P_snRNA"
"CAMTA1-IT1","lncRNA","CAMTA1-IT1_lncRNA"
"CAMTA1-AS2","lncRNA","CAMTA1-AS2_lncRNA"
"CAMTA1-AS1","lncRNA","CAMTA1-AS1_lncRNA"
"ENSG00000270171","lncRNA","ENSG00000270171_lncRNA"
"ENSG00000270035","lncRNA","ENSG00000270035_lncRNA"
"ENSG00000269978","lncRNA","ENSG00000269978_lncRNA"
"VAMP3","protein_coding","VAMP3_protein_coding"
"ENSG00000269925","lncRNA","ENSG00000269925_lncRNA"
"PER3","protein_coding","PER3_protein_coding"
"ENSG00000236266","lncRNA","ENSG00000236266_lncRNA"
"UTS2","protein_coding","UTS2_protein_coding"
"TNFRSF9","protein_coding","TNFRSF9_protein_coding"
"ENSG00000270330","processed_pseudogene","ENSG00000270330_processed_pseudogene"
"PARK7","protein_coding","PARK7_protein_coding"
"Y_RNA","misc_RNA","Y_RNA_misc_RNA"
"ENSG00000284747","lncRNA","ENSG00000284747_lncRNA"
"ENSG00000284716","lncRNA","ENSG00000284716_lncRNA"
"ERRFI1","protein_coding","ERRFI1_protein_coding"
"ERRFI1-DT","lncRNA","ERRFI1-DT_lncRNA"
"ENSG00000232848","processed_pseudogene","ENSG00000232848_processed_pseudogene"
"ENSG00000229305","processed_pseudogene","ENSG00000229305_processed_pseudogene"
"ENSG00000288816","lncRNA","ENSG00000288816_lncRNA"
"LINC01714","lncRNA","LINC01714_lncRNA"
"RNU1-7P","snRNA","RNU1-7P_snRNA"
"ENSG00000233645","lncRNA","ENSG00000233645_lncRNA"
"RNU6-991P","snRNA","RNU6-991P_snRNA"
"SLC45A1","protein_coding","SLC45A1_protein_coding"
"RERE","protein_coding","RERE_protein_coding"
"RERE-AS1","lncRNA","RERE-AS1_lncRNA"
"ENSG00000221083","snoRNA","ENSG00000221083_snoRNA"
"ENSG00000270282","processed_pseudogene","ENSG00000270282_processed_pseudogene"
"RPL7P11","processed_pseudogene","RPL7P11_processed_pseudogene"
"RPL7P7","processed_pseudogene","RPL7P7_processed_pseudogene"
"ENSG00000226545","unprocessed_pseudogene","ENSG00000226545_unprocessed_pseudogene"
"ENSG00000228423","lncRNA","ENSG00000228423_lncRNA"
"RPL23AP19","processed_pseudogene","RPL23AP19_processed_pseudogene"
"ENO1","protein_coding","ENO1_protein_coding"
"MIR6728","miRNA","MIR6728_miRNA"
"ENO1-AS1","lncRNA","ENO1-AS1_lncRNA"
"RNU6-304P","snRNA","RNU6-304P_snRNA"
"HMGN2P17","processed_pseudogene","HMGN2P17_processed_pseudogene"
"ENSG00000232208","processed_pseudogene","ENSG00000232208_processed_pseudogene"
"ENSG00000232663","processed_pseudogene","ENSG00000232663_processed_pseudogene"
"CA6","protein_coding","CA6_protein_coding"
"RN7SL451P","misc_RNA","RN7SL451P_misc_RNA"
"SLC2A7","protein_coding","SLC2A7_protein_coding"
"SLC2A5","protein_coding","SLC2A5_protein_coding"
"ENSG00000252404","scaRNA","ENSG00000252404_scaRNA"
"GPR157","protein_coding","GPR157_protein_coding"
"MIR34AHG","lncRNA","MIR34AHG_lncRNA"
"MIR34A","miRNA","MIR34A_miRNA"
"LNCTAM34A","lncRNA","LNCTAM34A_lncRNA"
"H6PD","protein_coding","H6PD_protein_coding"
"SPSB1","protein_coding","SPSB1_protein_coding"
"ENSG00000284652","lncRNA","ENSG00000284652_lncRNA"
"LINC02606","lncRNA","LINC02606_lncRNA"
"RNA5SP40","rRNA_pseudogene","RNA5SP40_rRNA_pseudogene"
"ENSG00000235263","lncRNA","ENSG00000235263_lncRNA"
"SLC25A33","protein_coding","SLC25A33_protein_coding"
"ENSG00000231181","processed_pseudogene","ENSG00000231181_processed_pseudogene"
"TMEM201","protein_coding","TMEM201_protein_coding"
"PIK3CD","protein_coding","PIK3CD_protein_coding"
"PIK3CD-AS1","lncRNA","PIK3CD-AS1_lncRNA"
"ENSG00000233268","processed_pseudogene","ENSG00000233268_processed_pseudogene"
"PIK3CD-AS2","lncRNA","PIK3CD-AS2_lncRNA"
"CLSTN1","protein_coding","CLSTN1_protein_coding"
"MZT1P1","processed_pseudogene","MZT1P1_processed_pseudogene"
"ENSG00000280113","TEC","ENSG00000280113_TEC"
"CTNNBIP1","protein_coding","CTNNBIP1_protein_coding"
"ENSG00000223989","lncRNA","ENSG00000223989_lncRNA"
"ENSG00000285701","lncRNA","ENSG00000285701_lncRNA"
"LZIC","protein_coding","LZIC_protein_coding"
"ENSG00000228150","lncRNA","ENSG00000228150_lncRNA"
"NMNAT1","protein_coding","NMNAT1_protein_coding"
"RN7SKP269","misc_RNA","RN7SKP269_misc_RNA"
"TMEM274P","unitary_pseudogene","TMEM274P_unitary_pseudogene"
"MIR5697","miRNA","MIR5697_miRNA"
"ENSG00000241326","lncRNA","ENSG00000241326_lncRNA"
"RBP7","protein_coding","RBP7_protein_coding"
"UBE4B","protein_coding","UBE4B_protein_coding"
"ENSG00000224340","processed_pseudogene","ENSG00000224340_processed_pseudogene"
"PGAM1P11","processed_pseudogene","PGAM1P11_processed_pseudogene"
"RNU6-828P","snRNA","RNU6-828P_snRNA"
"KIF1B","protein_coding","KIF1B_protein_coding"
"ENSG00000264881","miRNA","ENSG00000264881_miRNA"
"RNU6-37P","snRNA","RNU6-37P_snRNA"
"RN7SL731P","misc_RNA","RN7SL731P_misc_RNA"
"ENSG00000284735","lncRNA","ENSG00000284735_lncRNA"
"ENSG00000284642","lncRNA","ENSG00000284642_lncRNA"
"PGD","protein_coding","PGD_protein_coding"
"ENSG00000271989","lncRNA","ENSG00000271989_lncRNA"
"CENPS-CORT","protein_coding","CENPS-CORT_protein_coding"
"CENPS","protein_coding","CENPS_protein_coding"
"CORT","protein_coding","CORT_protein_coding"
"DFFA","protein_coding","DFFA_protein_coding"
"ENSG00000203469","lncRNA","ENSG00000203469_lncRNA"
"PEX14","protein_coding","PEX14_protein_coding"
"ENSG00000287727","lncRNA","ENSG00000287727_lncRNA"
"RN7SL614P","misc_RNA","RN7SL614P_misc_RNA"
"CASZ1","protein_coding","CASZ1_protein_coding"
"ENSG00000272078","lncRNA","ENSG00000272078_lncRNA"
"HSPE1P24","processed_pseudogene","HSPE1P24_processed_pseudogene"
"C1orf127","protein_coding","C1orf127_protein_coding"
"CFL1P6","processed_pseudogene","CFL1P6_processed_pseudogene"
"TARDBP","protein_coding","TARDBP_protein_coding"
"MASP2","protein_coding","MASP2_protein_coding"
"SRM","protein_coding","SRM_protein_coding"
"EXOSC10","protein_coding","EXOSC10_protein_coding"
"ENSG00000226849","lncRNA","ENSG00000226849_lncRNA"
"EXOSC10-AS1","lncRNA","EXOSC10-AS1_lncRNA"
"MTOR","protein_coding","MTOR_protein_coding"
"MTOR-AS1","lncRNA","MTOR-AS1_lncRNA"
"RNU6-537P","snRNA","RNU6-537P_snRNA"
"ANGPTL7","protein_coding","ANGPTL7_protein_coding"
"RNU6-291P","snRNA","RNU6-291P_snRNA"
"RPL39P6","processed_pseudogene","RPL39P6_processed_pseudogene"
"UBIAD1","protein_coding","UBIAD1_protein_coding"
"UBE2V2P3","processed_pseudogene","UBE2V2P3_processed_pseudogene"
"ENSG00000284646","lncRNA","ENSG00000284646_lncRNA"
"MTCYBP45","processed_pseudogene","MTCYBP45_processed_pseudogene"
"DISP3","protein_coding","DISP3_protein_coding"
"ENSG00000285833","lncRNA","ENSG00000285833_lncRNA"
"LINC01647","lncRNA","LINC01647_lncRNA"
"ENSG00000284708","lncRNA","ENSG00000284708_lncRNA"
"FBXO2","protein_coding","FBXO2_protein_coding"
"FBXO44","protein_coding","FBXO44_protein_coding"
"FBXO6","protein_coding","FBXO6_protein_coding"
"MAD2L2","protein_coding","MAD2L2_protein_coding"
"DRAXIN","protein_coding","DRAXIN_protein_coding"
"AGTRAP","protein_coding","AGTRAP_protein_coding"
"C1orf167","protein_coding","C1orf167_protein_coding"
"C1orf167-AS1","lncRNA","C1orf167-AS1_lncRNA"
"MTHFR","protein_coding","MTHFR_protein_coding"
"CLCN6","protein_coding","CLCN6_protein_coding"
"ENSG00000276470","misc_RNA","ENSG00000276470_misc_RNA"
"ENSG00000278852","misc_RNA","ENSG00000278852_misc_RNA"
"NPPA","protein_coding","NPPA_protein_coding"
"ENSG00000275915","misc_RNA","ENSG00000275915_misc_RNA"
"NPPB","protein_coding","NPPB_protein_coding"
"SBF1P2","processed_pseudogene","SBF1P2_processed_pseudogene"
"ENSG00000285646","lncRNA","ENSG00000285646_lncRNA"
"RNU5E-1","snRNA","RNU5E-1_snRNA"
"RNU5E-4P","snRNA","RNU5E-4P_snRNA"
"KIAA2013","protein_coding","KIAA2013_protein_coding"
"PLOD1","protein_coding","PLOD1_protein_coding"
"ENSG00000287384","lncRNA","ENSG00000287384_lncRNA"
"MFN2","protein_coding","MFN2_protein_coding"
"ENSG00000270914","processed_pseudogene","ENSG00000270914_processed_pseudogene"
"MIIP","protein_coding","MIIP_protein_coding"
"MIR6729","miRNA","MIR6729_miRNA"
"RN7SL649P","misc_RNA","RN7SL649P_misc_RNA"
"TNFRSF8","protein_coding","TNFRSF8_protein_coding"
"RNU6-777P","snRNA","RNU6-777P_snRNA"
"RPL23AP89","processed_pseudogene","RPL23AP89_processed_pseudogene"
"ENSG00000285604","lncRNA","ENSG00000285604_lncRNA"
"MIR7846","miRNA","MIR7846_miRNA"
"TNFRSF1B","protein_coding","TNFRSF1B_protein_coding"
"MIR4632","miRNA","MIR4632_miRNA"
"RPL10P17","processed_pseudogene","RPL10P17_processed_pseudogene"
"SNORA70","snoRNA","SNORA70_snoRNA"
"VPS13D","protein_coding","VPS13D_protein_coding"
"SNORA59A","snoRNA","SNORA59A_snoRNA"
"LINC02766","lncRNA","LINC02766_lncRNA"
"DHRS3","protein_coding","DHRS3_protein_coding"
"RNU6ATAC18P","snRNA","RNU6ATAC18P_snRNA"
"MIR6730","miRNA","MIR6730_miRNA"
"ENSG00000288927","lncRNA","ENSG00000288927_lncRNA"
"ENSG00000272482","lncRNA","ENSG00000272482_lncRNA"
"AADACL4","protein_coding","AADACL4_protein_coding"
"ENSG00000226166","processed_pseudogene","ENSG00000226166_processed_pseudogene"
"AADACL3","protein_coding","AADACL3_protein_coding"
"CFAP107","protein_coding","CFAP107_protein_coding"
"PRAMEF12","protein_coding","PRAMEF12_protein_coding"
"PRAMEF1","protein_coding","PRAMEF1_protein_coding"
"LINC01784","lncRNA","LINC01784_lncRNA"
"PRAMEF11","protein_coding","PRAMEF11_protein_coding"
"PRAMEF30P","unprocessed_pseudogene","PRAMEF30P_unprocessed_pseudogene"
"HNRNPCL1","protein_coding","HNRNPCL1_protein_coding"
"PRAMEF2","protein_coding","PRAMEF2_protein_coding"
"PRAMEF4","protein_coding","PRAMEF4_protein_coding"
"PRAMEF10","protein_coding","PRAMEF10_protein_coding"
"PRAMEF7","protein_coding","PRAMEF7_protein_coding"
"RNU6-1072P","snRNA","RNU6-1072P_snRNA"
"PRAMEF29P","unprocessed_pseudogene","PRAMEF29P_unprocessed_pseudogene"
"PRAMEF6","protein_coding","PRAMEF6_protein_coding"
"PRAMEF28P","unprocessed_pseudogene","PRAMEF28P_unprocessed_pseudogene"
"PRAMEF27","protein_coding","PRAMEF27_protein_coding"
"HNRNPCL3","protein_coding","HNRNPCL3_protein_coding"
